URL: [object Object]
Timestamp: Wed Feb 22 2023 14:19:46 GMT-0500 (Eastern Standard Time)

URL: [object Object]
Timestamp: Wed Feb 22 2023 14:19:47 GMT-0500 (Eastern Standard Time)

URL: [object Object]
Timestamp: Wed Feb 22 2023 14:20:23 GMT-0500 (Eastern Standard Time)

URL: /
Timestamp: Wed Feb 22 2023 14:26:12 GMT-0500 (Eastern Standard Time)

URL: /favicon.ico
Timestamp: Wed Feb 22 2023 14:26:12 GMT-0500 (Eastern Standard Time)

URL: /documentation
Timestamp: Wed Feb 22 2023 14:26:31 GMT-0500 (Eastern Standard Time)

URL: /favicon.ico
Timestamp: Wed Feb 22 2023 14:26:31 GMT-0500 (Eastern Standard Time)

::1 - - [06/Mar/2023:20:23:51 +0000] "GET / HTTP/1.1" 200 9 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [06/Mar/2023:20:23:51 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8005/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [06/Mar/2023:20:24:23 +0000] "GET /movies HTTP/1.1" 200 459 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [06/Mar/2023:21:01:58 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [06/Mar/2023:21:02:04 +0000] "GET /movies HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
